id,FullAskText,Бенкендорф Геннадій Данилович, Васильянов Дмитро Сергійович,Гамалій Андрій Вячеславович,Гордійчук Валерій Григорович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович, Жильчук Олександр Борисович, Качуровський Анатолій Іванович, Кобильник Василь Володимирович, Конюшенко Андрій Олександрович, Мазій Олена Миколаївна, Мастикаш Андрій Ігорович,Микуляк Іван Михайлович, Невенчан Геннадій Володимирович, Пливанюк Юрій Васильович, Посітко Михайло Володимирович, Розбам Микола Нюсевич, Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович, Слободян Валерій Анатолійович, Старченко Світлана Володимирівна, Ткач Олег Васильович, Цвігун Борис Ярославович, Чистяков Анатолій Євгенович, Шуханов Микола Макарович, Яриновський Юрій Леонідович,result
1,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 № 9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 № 7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52, рішенням 53 сесії міської ради від 03.04.2018 № 147/53, рішенням 54 сесії міської ради від 03.05.2018 № 98/54.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
2,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 № 9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 № 7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52, рішенням 53 сесії міської ради від 03.04.2018 № 147/53, рішенням 54 сесії міської ради від 03.05.2018 № 98/54.",ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ПРОТИ,ЗА,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
3,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 № 9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 № 7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52, рішенням 53 сесії міської ради від 03.04.2018 № 147/53, рішенням 54 сесії міської ради від 03.05.2018 № 98/54.",УТРИМАВСЯ,ЗА,ЗА,ЗА, ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
4,Про звернення до Верховної Ради України щодо ухвалення Антиолігархічного пакету докорінних перетворень.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
