id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гамалій Андрій Вячеславович,Гурома Анатолій Степанович,Гурома Степан Анатолійович,Дюднєв Андрій Михайлович,Жильчук Олександр Борисович,Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович,Костинюк Володимир Володимирович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Микуляк Іван Михайлович,Наглюк Юлія Вікторівна,Пливанюк Юрій Васильович,Посітко Михайло Володимирович,Розбам Микола Нюсевич,Савчук Наталія Федорівна,Слободян Валерій Анатолійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович, Яриновський Юрій Леонідович,result
1,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 № 9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 № 7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52, рішенням 53 сесії міської ради від 03.04.2018 № 147/53, рішенням 54 сесії міської ради від 03.05.2018 № 98/54, рішенням 55 (позачергової) сесії міської ради від 08.05.2018 № 1/55, рішенням 56 сесії міської ради від 05.06.2018 № 21/56, рішенням 57 сесії міської ради від 06.07.2018 № 24/57, рішенням 58 сесії міської ради від 07.08.2018 № 135/58, рішенням 59 сесії міської ради від 04.09.2018 № 19/59, рішенням 60 сесії міської ради від 02.10.2018 № 16/60",ПРОТИ,ЗА,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ПРОТИ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,НЕ ГЛОСУВАВ,ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
2,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 № 9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 № 7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52, рішенням 53 сесії міської ради від 03.04.2018 № 147/53, рішенням 54 сесії міської ради від 03.05.2018 № 98/54, рішенням 55 (позачергової) сесії міської ради від 08.05.2018 № 1/55, рішенням 56 сесії міської ради від 05.06.2018 № 21/56, рішенням 57 сесії міської ради від 06.07.2018 № 24/57, рішенням 58 сесії міської ради від 07.08.2018 № 135/58, рішенням 59 сесії міської ради від 04.09.2018 № 19/59, рішенням 60 сесії міської ради від 02.10.2018 № 16/60",ПРОТИ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ПРОТИ,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,ЗА,ЗА,ПРОТИ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,НЕ ГЛОСУВАВ,ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
3,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 № 9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 № 7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52, рішенням 53 сесії міської ради від 03.04.2018 № 147/53, рішенням 54 сесії міської ради від 03.05.2018 № 98/54, рішенням 55 (позачергової) сесії міської ради від 08.05.2018 № 1/55, рішенням 56 сесії міської ради від 05.06.2018 № 21/56, рішенням 57 сесії міської ради від 06.07.2018 № 24/57, рішенням 58 сесії міської ради від 07.08.2018 № 135/58, рішенням 59 сесії міської ради від 04.09.2018 № 19/59, рішенням 60 сесії міської ради від 02.10.2018 № 16/60",ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
4,Про звернення до Президента України щодо скасування Постанови Кабінету Міністрів України про підвищення ціни на газ для населення,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ВІДСУТНІЙ,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
