id,FullAskText,Бабчинський Олександр Васильович,Васильянов Дмитро Сергійович,Гордійчук Валерій Григорович,Гурома Анатолій Степанович,Гурома Степан Анатолійович,Дюднєв Артем Михайлович,Жильчук Олександр Борисович,Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Микуляк Іван Михайлович,Пливанюк Юрій Васильович,Розбам Микола Нюсевич,Савчук Наталія Федорівна,Сімашкевич Михайло Євстафійович,Ткач Олег Васильович,Цвігун Борис Ярославович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,result
1,Про затвердження акта приймання-передачі майна комунальної власності з балансу комунального підприємства «Кам’янець-Подільська міська стоматологічна поліклініка» на баланс управління охорони здоров’я Кам’янець-Подільської міської ради.,ЗА,ЗА,ЗА,УТРИМАВСЯ,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
2,Про затвердження проміжного ліквідаційного балансу комунального підприємства «Кам’янець-Подільська міська стоматологічна поліклініка».,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
3,Погашення заборгованості,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
4,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 №  9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 №  7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52, рішенням 53 сесії міської ради від 03.04.2018 № 147/53, рішенням 54 сесії міської ради від 03.05.2018 №  98/54, рішенням 55 (позачергової) сесії міської ради від 08.05.2018 №  1/55, рішенням 56 сесії міської ради від 05.06.2018 №  21/56, рішенням 57 сесії міської ради від 06.07.2018 №  24/57, рішенням 58 сесії міської ради від 07.08.2018 №  135/58, рішенням 59 сесії міської ради від 04.09.2018 № 19/59, рішенням 60 сесії міської ради від 02.10.2018 № 16/60",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
